floor,BR00_BR01,2,yes,yes,no,no,no,Move from ground floor to 1st floor,Move from 1st floor to ground floor,,,Burton
floor,BR00_BR02,3,yes,yes,no,no,no,Move from ground floor to 2nd floor,Move from 2nd floor to ground floor,,,Burton
floor,BR00_BR03,4,yes,yes,no,no,no,Move from ground floor to 3rd floor,Move from 3rd floor to gorund floor,,,Burton
floor,BR01_BR02,2,yes,yes,no,no,no,Move from 1st floor to 2nd floor,Move from 2nd floor to 1st floor,,,Burton
floor,BR01_BR03,3,yes,yes,no,no,no,Move from 1st floor to 3rd floor,Move from 3rd floor to 1st floor,,,Burton
level,BR00_BR00A,1,no,no,no,no,yes,,,,,Burton
level,BR01_BR01A,1,no,no,no,no,yes,,,,,Burton
level,BR01_BR01B,1,no,no,no,no,yes,,,,,Burton
level,BR01_BR01C,1,no,no,no,no,yes,,,,,Burton
floor,RT01_RT02,2,no,no,no,no,yes,Move from 1st floor to 2nd floor,Move from 2nd floor to 1st floor,broken elevator in Morey/Rettner Hall,,Rettner
floor,RT01_RT03,3,no,no,no,no,yes,Move from 1st floor to 3rd floor,Move from 3rd floor to 1st floor,broken elevator in Morey/Rettner Hall,,Rettner
floor,RT02_RT03,2,no,no,no,no,yes,Move from 2nd floor to 3rd floor,Move from 3rd floor to 1st floor,broken elevator in Morey/Rettner Hall,,Rettner
level,RT01_RT01A,1,no,no,no,no,yes,,,,,Rettner
level,RT01_RT01B,1,no,no,no,no,yes,,,,,Rettner
level,RT01_RT01C,1,no,no,no,no,yes,,,,,Rettner
floor,MRG_MR01,2,no,no,no,no,yes,Move from ground floor to 1st floor,Move from 1st floor to ground floor,broken elevator in Morey Hall,,Morey
floor,MRG_MR02,3,no,no,no,no,yes,Move from ground floor to 2nd floor,Move from 2nd floor to ground floor,broken elevator in Morey Hall,,Morey
floor,MRG_MR03,4,no,no,no,no,yes,Move from ground floor to 3rd floor,Move from 3rd floor to ground floor,broken elevator in Morey Hall,,Morey
floor,MRG_MR04,5,no,no,no,no,yes,Move from ground floor to 4th floor,Move from 4th floor to ground floor,broken elevator in Morey Hall,,Morey
floor,MRG_MR05,6,no,no,no,no,yes,Move from ground floor to 5th floor,Move from 5th floor to ground floor,broken elevator in Morey Hall,,Morey
floor,MR01_MR02,2,no,no,no,no,yes,Move from 1st floor to 2nd floor,Move from 2nd floor to 1st floor,broken elevator in Morey Hall,,Morey
floor,MR01_MR03,3,no,no,no,no,yes,Move from 1st floor to 3rd floor,Move from 3rd floor to 1st floor,broken elevator in Morey Hall,,Morey
